# visible | band                    | dataset                 | pol   | sampleModel | scalingOffset | scalingFactor | typicaMin | typicalMax | cyclic | fillValue | validExpr | unit      | decription                                                                                                                                | flagCoding    | flags
# Diff_TBs_Type                                                                                                                                            *
  *       | Diff_TB_1               | Diff_TB_1               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Diff_TB_1                                                                                              | *             | *
  *       | Diff_TB_2               | Diff_TB_2               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Diff_TB_2                                                                                              | *             | *
  *       | Diff_TB_3               | Diff_TB_3               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Diff_TB_3                                                                                              | *             | *
  *       | Diff_TB_4               | Diff_TB_4               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Diff_TB_4                                                                                              | *             | *
  *       | Tb_gal_H                | Tb_gal_H                | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Tb_gal_H                                                                                               | *             | *
  *       | Tb_gal_V                | Tb_gal_V                | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Tb_gal_V                                                                                               | *             | *
# Geophysical_Parameters_Post_Type
  *       | Param1_M1               | Param1_M1               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param1_M1                                                                                              | *             | *
  *       | Param1_sigma_M1         | Param1_sigma_M1         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param1_sigma_M1                                                                                        | *             | *
  *       | Param2_M1               | Param2_M1               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param2_M1                                                                                              | *             | *
  *       | Param2_sigma_M1         | Param2_sigma_M1         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param2_sigma_M1                                                                                        | *             | *
  *       | Param3_M1               | Param3_M1               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param3_M1                                                                                              | *             | *
  *       | Param3_sigma_M1         | Param3_sigma_M1         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param3_sigma_M1                                                                                        | *             | *
  *       | Param4_M1               | Param4_M1               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param4_M1                                                                                              | *             | *
  *       | Param4_sigma_M1         | Param4_sigma_M1         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param4_sigma_M1                                                                                        | *             | *
  *       | Param5_M1               | Param5_M1               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param5_M1                                                                                              | *             | *
  *       | Param5_sigma_M1         | Param5_sigma_M1         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param5_sigma_M1                                                                                        | *             | *
  *       | Param6_M1               | Param6_M1               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param6_M1                                                                                              | *             | *
  *       | Param6_sigma_M1         | Param6_sigma_M1         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param6_sigma_M1                                                                                        | *             | *
  *       | Param7_M1               | Param7_M1               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param7_M1                                                                                              | *             | *
  *       | Param7_sigma_M1         | Param7_sigma_M1         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param7_sigma_M1                                                                                        | *             | *
  *       | Param1_M2               | Param1_M2               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param1_M2                                                                                              | *             | *
  *       | Param1_sigma_M2         | Param1_sigma_M2         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param1_sigma_M2                                                                                        | *             | *
  *       | Param2_M2               | Param2_M2               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param2_M2                                                                                              | *             | *
  *       | Param2_sigma_M2         | Param2_sigma_M2         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param2_sigma_M2                                                                                        | *             | *
  *       | Param3_M2               | Param3_M2               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param3_M2                                                                                              | *             | *
  *       | Param3_sigma_M2         | Param3_sigma_M2         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param3_sigma_M2                                                                                        | *             | *
  *       | Param4_M2               | Param4_M2               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param4_M2                                                                                              | *             | *
  *       | Param4_sigma_M2         | Param4_sigma_M2         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param4_sigma_M2                                                                                        | *             | *
  *       | Param5_M2               | Param5_M2               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param5_M2                                                                                              | *             | *
  *       | Param5_sigma_M2         | Param5_sigma_M2         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param5_sigma_M2                                                                                        | *             | *
  *       | Param6_M2               | Param6_M2               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param6_M2                                                                                              | *             | *
  *       | Param6_sigma_M2         | Param6_sigma_M2         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param6_sigma_M2                                                                                        | *             | *
  *       | Param7_M2               | Param7_M2               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param7_M2                                                                                              | *             | *
  *       | Param7_sigma_M2         | Param7_sigma_M2         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param7_sigma_M2                                                                                        | *             | *
  *       | Param1_M3               | Param1_M3               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param1_M3                                                                                              | *             | *
  *       | Param1_sigma_M3         | Param1_sigma_M3         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param1_sigma_M3                                                                                        | *             | *
  *       | Param2_M3               | Param2_M3               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param2_M3                                                                                              | *             | *
  *       | Param2_sigma_M3         | Param2_sigma_M3         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param2_sigma_M3                                                                                        | *             | *
  *       | Param3_M3               | Param3_M3               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param3_M3                                                                                              | *             | *
  *       | Param3_sigma_M3         | Param3_sigma_M3         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param3_sigma_M3                                                                                        | *             | *
  *       | Param4_M3               | Param4_M3               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param4_M3                                                                                              | *             | *
  *       | Param4_sigma_M3         | Param4_sigma_M3         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param4_sigma_M3                                                                                        | *             | *
  *       | Param5_M3               | Param5_M3               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param5_M3                                                                                              | *             | *
  *       | Param5_sigma_M3         | Param5_sigma_M3         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param5_sigma_M3                                                                                        | *             | *
  *       | Param6_M3               | Param6_M3               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param6_M3                                                                                              | *             | *
  *       | Param6_sigma_M3         | Param6_sigma_M3         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param6_sigma_M3                                                                                        | *             | *
  *       | Param7_M3               | Param7_M3               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param7_M3                                                                                              | *             | *
  *       | Param7_sigma_M3         | Param7_sigma_M3         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param7_sigma_M3                                                                                        | *             | *
  *       | Param1_M4               | Param1_M4               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param1_M4                                                                                              | *             | *
  *       | Param1_sigma_M4         | Param1_sigma_M4         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param1_sigma_M4                                                                                        | *             | *
  *       | Param2_M4               | Param2_M4               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param2_M4                                                                                              | *             | *
  *       | Param2_sigma_M4         | Param2_sigma_M4         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param2_sigma_M4                                                                                        | *             | *
  *       | Param3_M4               | Param3_M4               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param3_M4                                                                                              | *             | *
  *       | Param3_sigma_M4         | Param3_sigma_M4         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param3_sigma_M4                                                                                        | *             | *
  *       | Param4_M4               | Param4_M4               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param4_M4                                                                                              | *             | *
  *       | Param4_sigma_M4         | Param4_sigma_M4         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param4_sigma_M4                                                                                        | *             | *
  *       | Param5_M4               | Param5_M4               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param5_M4                                                                                              | *             | *
  *       | Param5_sigma_M4         | Param5_sigma_M4         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param5_sigma_M4                                                                                        | *             | *
  *       | Param6_M4               | Param6_M4               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param6_M4                                                                                              | *             | *
  *       | Param6_sigma_M4         | Param6_sigma_M4         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param6_sigma_M4                                                                                        | *             | *
  *       | Param7_M4               | Param7_M4               | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param7_M4                                                                                              | *             | *
  *       | Param7_sigma_M4         | Param7_sigma_M4         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param7_sigma_M4                                                                                        | *             | *
#
  *       | Param1_prior_M1         | Param1_prior_M1         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param1_prior_M1                                                                                        | *             | *
  *       | Param1_sigma_prior_M1   | Param1_sigma_prior_M1   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param1_sigma_prior_M1                                                                                  | *             | *
  *       | Param2_prior_M1         | Param2_prior_M1         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param2_prior_M1                                                                                        | *             | *
  *       | Param2_sigma_prior_M1   | Param2_sigma_prior_M1   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param2_sigma_prior_M1                                                                                  | *             | *
  *       | Param3_prior_M1         | Param3_prior_M1         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param3_prior_M1                                                                                        | *             | *
  *       | Param3_sigma_prior_M1   | Param3_sigma_prior_M1   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param3_sigma_prior_M1                                                                                  | *             | *
  *       | Param4_prior_M1         | Param4_prior_M1         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param4_prior_M1                                                                                        | *             | *
  *       | Param4_sigma_prior_M1   | Param4_sigma_prior_M1   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param4_sigma_prior_M1                                                                                  | *             | *
  *       | Param5_prior_M1         | Param5_prior_M1         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param5_prior_M1                                                                                        | *             | *
  *       | Param5_sigma_prior_M1   | Param5_sigma_prior_M1   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param5_sigma_prior_M1                                                                                  | *             | *
  *       | Param6_sigma_prior_M1   | Param6_sigma_prior_M1   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param6_sigma_prior_M1                                                                                  | *             | *
  *       | Param6_prior_M1         | Param6_prior_M1         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param6_prior_M1                                                                                        | *             | *
  *       | Param7_prior_M1         | Param7_prior_M1         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param7_prior_M1                                                                                        | *             | *
  *       | Param7_sigma_prior_M1   | Param7_sigma_prior_M1   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param7_sigma_prior_M1                                                                                  | *             | *
  *       | Param1_prior_M2         | Param1_prior_M2         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param1_prior_M2                                                                                        | *             | *
  *       | Param1_sigma_prior_M2   | Param1_sigma_prior_M2   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param1_sigma_prior_M2                                                                                  | *             | *
  *       | Param2_prior_M2         | Param2_prior_M2         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param2_prior_M2                                                                                        | *             | *
  *       | Param2_sigma_prior_M2   | Param2_sigma_prior_M2   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param2_sigma_prior_M2                                                                                  | *             | *
  *       | Param3_prior_M2         | Param3_prior_M2         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param3_prior_M2                                                                                        | *             | *
  *       | Param3_sigma_prior_M2   | Param3_sigma_prior_M2   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param3_sigma_prior_M2                                                                                  | *             | *
  *       | Param4_prior_M2         | Param4_prior_M2         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param4_prior_M2                                                                                        | *             | *
  *       | Param4_sigma_prior_M2   | Param4_sigma_prior_M2   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param4_sigma_prior_M2                                                                                  | *             | *
  *       | Param5_prior_M2         | Param5_prior_M2         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param5_prior_M2                                                                                        | *             | *
  *       | Param5_sigma_prior_M2   | Param5_sigma_prior_M2   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param5_sigma_prior_M2                                                                                  | *             | *
  *       | Param6_prior_M2         | Param6_prior_M2         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param6_prior_M2                                                                                        | *             | *
  *       | Param6_sigma_prior_M2   | Param6_sigma_prior_M2   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param6_sigma_prior_M2                                                                                  | *             | *
  *       | Param7_prior_M2         | Param7_prior_M2         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param7_prior_M2                                                                                        | *             | *
  *       | Param7_sigma_prior_M2   | Param7_sigma_prior_M2   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param7_sigma_prior_M2                                                                                  | *             | *
  *       | Param1_prior_M3         | Param1_prior_M3         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param1_prior_M3                                                                                        | *             | *
  *       | Param1_sigma_prior_M3   | Param1_sigma_prior_M3   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param1_sigma_prior_M3                                                                                  | *             | *
  *       | Param2_prior_M3         | Param2_prior_M3         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param2_prior_M3                                                                                        | *             | *
  *       | Param2_sigma_prior_M3   | Param2_sigma_prior_M3   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param2_sigma_prior_M3                                                                                  | *             | *
  *       | Param3_prior_M3         | Param3_prior_M3         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param3_prior_M3                                                                                        | *             | *
  *       | Param3_sigma_prior_M3   | Param3_sigma_prior_M3   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param3_sigma_prior_M3                                                                                  | *             | *
  *       | Param4_prior_M3         | Param4_prior_M3         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param4_prior_M3                                                                                        | *             | *
  *       | Param4_sigma_prior_M3   | Param4_sigma_prior_M3   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param4_sigma_prior_M3                                                                                  | *             | *
  *       | Param5_prior_M3         | Param5_prior_M3         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param5_prior_M3                                                                                        | *             | *
  *       | Param5_sigma_prior_M3   | Param5_sigma_prior_M3   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param5_sigma_prior_M3                                                                                  | *             | *
  *       | Param6_prior_M3         | Param6_prior_M3         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param6_prior_M3                                                                                        | *             | *
  *       | Param6_sigma_prior_M3   | Param6_sigma_prior_M3   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param6_sigma_prior_M3                                                                                  | *             | *
  *       | Param7_prior_M3         | Param7_prior_M3         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param7_prior_M3                                                                                        | *             | *
  *       | Param7_sigma_prior_M3   | Param7_sigma_prior_M3   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param7_sigma_prior_M3                                                                                  | *             | *
  *       | Param1_prior_M4         | Param1_prior_M4         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param1_prior_M4                                                                                        | *             | *
  *       | Param1_sigma_prior_M4   | Param1_sigma_prior_M4   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param1_sigma_prior_M4                                                                                  | *             | *
  *       | Param2_prior_M4         | Param2_prior_M4         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param2_prior_M4                                                                                        | *             | *
  *       | Param2_sigma_prior_M4   | Param2_sigma_prior_M4   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param2_sigma_prior_M4                                                                                  | *             | *
  *       | Param3_prior_M4         | Param3_prior_M4         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param3_prior_M4                                                                                        | *             | *
  *       | Param3_sigma_prior_M4   | Param3_sigma_prior_M4   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param3_sigma_prior_M4                                                                                  | *             | *
  *       | Param4_prior_M4         | Param4_prior_M4         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param4_prior_M4                                                                                        | *             | *
  *       | Param4_sigma_prior_M4   | Param4_sigma_prior_M4   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param4_sigma_prior_M4                                                                                  | *             | *
  *       | Param5_prior_M4         | Param5_prior_M4         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param5_prior_M4                                                                                        | *             | *
  *       | Param5_sigma_prior_M4   | Param5_sigma_prior_M4   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param5_sigma_prior_M4                                                                                  | *             | *
  *       | Param6_prior_M4         | Param6_prior_M4         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param6_prior_M4                                                                                        | *             | *
  *       | Param6_sigma_prior_M4   | Param6_sigma_prior_M4   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param6_sigma_prior_M4                                                                                  | *             | *
  *       | Param7_prior_M4         | Param7_prior_M4         | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param7_prior_M4                                                                                        | *             | *
  *       | Param7_sigma_prior_M4   | Param7_sigma_prior_M4   | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Param7_sigma_prior_M4                                                                                  | *             | *
# Grid_Point_Descriptors_Type
  *       | Out_of_LUT_flags_1      | Out_of_LUT_flags_1      | *     | *           | *             | *             | *         | *          | *      | *         | *         | *         | Out_of_LUT_flags_1                                                                                     | *             | *
  *       | Out_of_LUT_flags_2      | Out_of_LUT_flags_2      | *     | *           | *             | *             | *         | *          | *      | *         | *         | *         | Out_of_LUT_flags_2                                                                                     | *             | *
  *       | Out_of_LUT_flags_3      | Out_of_LUT_flags_3      | *     | *           | *             | *             | *         | *          | *      | *         | *         | *         | Out_of_LUT_flags_3                                                                                     | *             | *
  *       | Out_of_LUT_flags_4      | Out_of_LUT_flags_4      | *     | *           | *             | *             | *         | *          | *      | *         | *         | *         | Out_of_LUT_flags_4                                                                                     | *             | *
  *       | Sigma_SST               | Sigma_SST               | *     | *           | *             | *             | *         | *          | *      | *         | *         | C         | Theoretical uncertainty associated with SST                                                            | *             | *
  *       | Sigma_WS                | Sigma_WS                | *     | *           | *             | *             | *         | *          | *      | *         | *         | m/s       | Theoretical uncertainty associated with WS                                                             | *             | *
  *       | Dg_num_outliers         | Dg_num_outliers         | *     | *           | *             | *             | *         | *          | *      | *         | *         | *         | Dg_num_outliers                                                                                        | *             | *
  *       | Dg_num_high_resol       | Dg_num_high_resol       | *     | *           | *             | *             | *         | *          | *      | *         | *         | *         | Dg_num_high_resol                                                                                      | *             | *
  *       | Dg_user                 | Dg_user                 | *     | *           | *             | *             | *         | *          | *      | *         | *         | *         | Number of measurements matching user filter in AUX_CNFOSF/D                                            | *             | *
  *       | Dg_sunglint_L1          | Dg_sunglint_L1          | *     | *           | *             | *             | *         | *          | *      | *         | *         | *         | Dg_sunglint_L1                                                                                         | *             | *
  *       | Tau                     | Tau                     | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | Tau                                                                                                    | *             | *
  *       | TBatm_emission          | TBatm_emission          | *     | *           | *             | *             | *         | *          | *      | -999.0    | *         | *         | TBatm_emission                                                                                         | *             | *
# other
  *       | Grid_Point_ID           | Grid_Point_ID           | *     | *           | *             | *             | 1         | 9262145    | *      | 0         | *         | *         | Grid point ID                                                                                          | *             | *
  *       | Latitude                | Latitude                | *     | *           | *             | *             | -90.0     | 90.0       | *      | -999.0    | *         | deg       | Latitude (-90, 90)                                                                                     | *             | *
  *       | Longitude               | Longitude               | *     | *           | *             | *             | -180.0    | 180.0      | true   | -999.0    | *         | deg       | Longitude (-180, 180)                                                                                  | *             | *
