# visible | band                            | dataset                    | pol   | sampleModel | scalingOffset | scalingFactor     | typicaMin | typicalMax | cyclic | fillValue | validExpr | unit      | decription                                                                                                                                                    | flagCoding    | flags
  *       | BT_Value_X                      | BT_Value_Real              | 0     | *           | *             | *                 | 0.0       | 350.0      | *      | -999.0    | *         | K         | Brightness temperature measurement over current Earth fixed grid point, obtained by DFT interpolation from L1b data, antenna X polarisation                   | *             | *
  *       | BT_Value_Y                      | BT_Value_Real              | 1     | *           | *             | *                 | 0.0       | 350.0      | *      | -999.0    | *         | K         | Brightness temperature measurement over current Earth fixed grid point, obtained by DFT interpolation from L1b data, antenna Y polarisation                   | *             | *
  *       | BT_Value_XY_Real                | BT_Value_Real              | 2     | *           | *             | *                 | -10.0     | 10.0       | *      | -999.0    | *         | K         | Brightness temperature measurement over current Earth fixed grid point, obtained by DFT interpolation from L1b data, antenna XY polarisation, real value      | *             | *
  *       | BT_Value_XY_Imag                | BT_Value_Imag              | 2     | *           | *             | *                 | -10.0     | 10.0       | *      | -999.0    | *         | K         | Brightness temperature measurement over current Earth fixed grid point, obtained by DFT interpolation from L1b data, antenna XY polarisation, imaginary value | *             | *
  *       | Pixel_Radiometric_Accuracy_X    | Pixel_Radiometric_Accuracy | 0     | *           | 0.0           | 7.62939453125E-4  | 0.0       | 5.0        | *      | 0.0       | *         | K         | Error accuracy measurement in the Brightness Temperature, antenna X polarisation                                                                              | *             | *
  *       | Pixel_Radiometric_Accuracy_Y    | Pixel_Radiometric_Accuracy | 1     | *           | 0.0           | 7.62939453125E-4  | 0.0       | 5.0        | *      | 0.0       | *         | K         | Error accuracy measurement in the Brightness Temperature, antenna Y polarisation                                                                              | *             | *
  *       | Pixel_Radiometric_Accuracy_XY   | Pixel_Radiometric_Accuracy | 2     | *           | 0.0           | 7.62939453125E-4  | 0.0       | 5.0        | *      | 0.0       | *         | K         | Error accuracy measurement in the Brightness Temperature, antenna XY polarisation                                                                             | *             | *
  *       | Incidence_Angle_X               | Incidence_Angle            | 0     | *           | 0.0           | 0.001373291015625 | 0.0       | 90.0       | *      | 0.0       | *         | deg       | Incidence angle value corresponding to the measured BT value over current Earth fixed grid point, antenna X polarisation                                      | *             | *
  *       | Incidence_Angle_Y               | Incidence_Angle            | 1     | *           | 0.0           | 0.001373291015625 | 0.0       | 90.0       | *      | 0.0       | *         | deg       | Incidence angle value corresponding to the measured BT value over current Earth fixed grid point, antenna Y polarisation                                      | *             | *
  *       | Incidence_Angle_XY              | Incidence_Angle            | 2     | *           | 0.0           | 0.001373291015625 | 0.0       | 90.0       | *      | 0.0       | *         | deg       | Incidence angle value corresponding to the measured BT value over current Earth fixed grid point, antenna XY polarisation                                     | *             | *
  *       | Azimuth_Angle_X                 | Azimuth_Angle              | 0     | *           | 0.0           | 0.0054931640625   | 0.0       | 360.0      | true   | 0.0       | *         | deg       | Azimuth angle value corresponding to the measured BT value over current Earth fixed grid point, antenna X polarisation                                        | *             | *
  *       | Azimuth_Angle_Y                 | Azimuth_Angle              | 1     | *           | 0.0           | 0.0054931640625   | 0.0       | 360.0      | true   | 0.0       | *         | deg       | Azimuth angle value corresponding to the measured BT value over current Earth fixed grid point, antenna Y polarisation                                        | *             | *
  *       | Azimuth_Angle_XY                | Azimuth_Angle              | 2     | *           | 0.0           | 0.0054931640625   | 0.0       | 360.0      | true   | 0.0       | *         | deg       | Azimuth angle value corresponding to the measured BT value over current Earth fixed grid point, antenna XY polarisation                                       | *             | *
  *       | Faraday_Rotation_Angle_X        | Faraday_Rotation_Angle     | 0     | *           | 0.0           | 0.0054931640625   | 0.0       | 360.0      | true   | 0.0       | *         | deg       | Faraday rotation angle value corresponding to the measured BT value over current Earth fixed grid point, antenna X polarisation                               | *             | *
  *       | Faraday_Rotation_Angle_Y        | Faraday_Rotation_Angle     | 1     | *           | 0.0           | 0.0054931640625   | 0.0       | 360.0      | true   | 0.0       | *         | deg       | Faraday rotation angle value corresponding to the measured BT value over current Earth fixed grid point, antenna Y polarisation                               | *             | *
  *       | Faraday_Rotation_Angle_XY       | Faraday_Rotation_Angle     | 2     | *           | 0.0           | 0.0054931640625   | 0.0       | 360.0      | true   | 0.0       | *         | deg       | Faraday rotation angle value corresponding to the measured BT value over current Earth fixed grid point, antenna XY polarisation                              | *             | *
  *       | Geometric_Rotation_Angle_X      | Geometric_Rotation_Angle   | 0     | *           | 0.0           | 0.0054931640625   | 0.0       | 360.0      | true   | 0.0       | *         | deg       | Geometric rotation angle value corresponding to the measured BT value over current Earth fixed grid point, antenna X polarisation                             | *             | *
  *       | Geometric_Rotation_Angle_Y      | Geometric_Rotation_Angle   | 1     | *           | 0.0           | 0.0054931640625   | 0.0       | 360.0      | true   | 0.0       | *         | deg       | Geometric rotation angle value corresponding to the measured BT value over current Earth fixed grid point, antenna Y polarisation                             | *             | *
  *       | Geometric_Rotation_Angle_XY     | Geometric_Rotation_Angle   | 2     | *           | 0.0           | 0.0054931640625   | 0.0       | 360.0      | true   | 0.0       | *         | deg       | Geometric rotation angle value corresponding to the measured BT value over current Earth fixed grid point, antenna XY polarisation                            | *             | *
  *       | Footprint_Axis1_X               | Footprint_Axis1            | 0     | *           | 0.0           | 0.00152587890625  | 20.0      | 35.0       | *      | 0.0       | *         | km        | Elliptical footprint major semi-axis value, antenna X polarisation                                                                                            | *             | *
  *       | Footprint_Axis1_Y               | Footprint_Axis1            | 1     | *           | 0.0           | 0.00152587890625  | 20.0      | 35.0       | *      | 0.0       | *         | km        | Elliptical footprint major semi-axis value, antenna Y polarisation                                                                                            | *             | *
  *       | Footprint_Axis1_XY              | Footprint_Axis1            | 2     | *           | 0.0           | 0.00152587890625  | 20.0      | 35.0       | *      | 0.0       | *         | km        | Elliptical footprint major semi-axis value, antenna XY polarisation                                                                                           | *             | *
  *       | Footprint_Axis2_X               | Footprint_Axis2            | 0     | *           | 0.0           | 0.00152587890625  | 20.0      | 35.0       | *      | 0.0       | *         | km        | Elliptical footprint minor semi-axis value, antenna X polarisation                                                                                            | *             | *
  *       | Footprint_Axis2_Y               | Footprint_Axis2            | 1     | *           | 0.0           | 0.00152587890625  | 20.0      | 35.0       | *      | 0.0       | *         | km        | Elliptical footprint minor semi-axis value, antenna Y polarisation                                                                                            | *             | *
  *       | Footprint_Axis2_XY              | Footprint_Axis2            | 2     | *           | 0.0           | 0.00152587890625  | 20.0      | 35.0       | *      | 0.0       | *         | km        | Elliptical footprint minor semi-axis value, antenna XY polarisation                                                                                           | *             | *
  *       | Flags                           | Flags                      | 4     | *           | 0.0           | *                 | 0.0       | 65535.0    | *      | 0.0       | *         | *         | L1c flags applicable to the pixel for this particular integration time                                                                                        | Flags         | DBL_SM_XXXX_MIR_XXXF1C_0200_flags
  *       | BT_Value_H                      | *                          | 0     | *           | *             | *                 | 0.0       | 350.0      | *      | -999.0    | *         | K         | Brightness temperature measurement over current Earth fixed grid point, ground H polarisation                                                                 | *             | *
  *       | BT_Value_V                      | *                          | 1     | *           | *             | *                 | 0.0       | 350.0      | *      | -999.0    | *         | K         | Brightness temperature measurement over current Earth fixed grid point, ground V polarisation                                                                 | *             | *
  *       | BT_Value_HV_Real                | *                          | 2     | *           | *             | *                 | -10.0     | 10.0       | *      | -999.0    | *         | K         | Brightness temperature measurement over current Earth fixed grid point, ground HV polarisation, real value                                                    | *             | *
  *       | BT_Value_HV_Imag                | *                          | 2     | *           | *             | *                 | -10.0     | 10.0       | *      | -999.0    | *         | K         | Brightness temperature measurement over current Earth fixed grid point, ground HV polarisation, imaginary value                                               | *             | *
  *       | Pixel_Radiometric_Accuracy_H    | *                          | 0     | *           | *             | *                 | 0.0       | 5.0        | *      | 0.0       | *         | K         | Error accuracy measurement in the Brightness Temperature, ground H polarisation                                                                               | *             | *
  *       | Pixel_Radiometric_Accuracy_V    | *                          | 1     | *           | *             | *                 | 0.0       | 5.0        | *      | 0.0       | *         | K         | Error accuracy measurement in the Brightness Temperature, ground V polarisation                                                                               | *             | *
  *       | Pixel_Radiometric_Accuracy_HV   | *                          | 2     | *           | *             | *                 | 0.0       | 5.0        | *      | 0.0       | *         | K         | Error accuracy measurement in the Brightness Temperature, ground HV polarisation                                                                              | *             | *
  *       | Stokes_1                        | *                          | *     | *           | *             | *                 | 0.0       | 350.0      | *      | -999.0    | *         | K         | 1st Stokes parameter over current Earth fixed grid point                                                                                                      | *             | *
  *       | Stokes_2                        | *                          | *     | *           | *             | *                 | -100.0    | 100.0      | *      | -999.0    | *         | K         | 2nd Stokes parameter over current Earth fixed grid point                                                                                                      | *             | *
  *       | Stokes_3                        | *                          | *     | *           | *             | *                 | -10.0     | 10.0       | *      | -999.0    | *         | K         | 3rd Stokes parameter over current Earth fixed grid point                                                                                                      | *             | *
  *       | Stokes_4                        | *                          | *     | *           | *             | *                 | -10.0     | 10.0       | *      | -999.0    | *         | K         | 4th Stokes parameter over current Earth fixed grid point                                                                                                      | *             | *
